time ,device 69,device 70,device 71,device 72,device 73,device 75,device 76,device 77,device 78,device 79,device 80,device 81,device 82,device 83,device 84,device 85,device 86,device 87,device 88,device 89,device 91,device 92,device 93,device 94,device 95,device 96,device 97,device 98,device 99,device 100,device 101,device 103,device 104,device 105,device 106,device 107,device 108,device 109,device 110
2022/11/12,137.2440709,78.17171452,,,,,,,70.53560273,,548.5284478,131.6095803,,117.4827134,109.7007633,,159.059457,,,,88.88612654,,56.01067511,,123.9386872,,,247.5510338,,100.1169397,132.1125831,113.3732729,,121.2921752,151.0529573,,19.38759795,,
2022/11/13,44.9090635,12.05939095,,,,,,,23.01170745,,630.3335949,45.00119216,,61.11098528,51.93344454,,101.7925893,,,,22.40216881,,34.54265863,,98.82273238,,,25.81943404,,81.20770495,120.4067068,92.86594881,,28.67128994,68.05321713,,18.33579818,,
2022/11/14,67.54846094,127.6619895,,,,,,,39.79297979,,290.0437377,92.2875024,,216.7075107,182.3468442,,62.45441959,,,,84.95650459,,13.00240242,,65.68752598,,,50.87778228,,75.898133,82.10485639,72.84790213,,398.2246684,89.04454275,,18.68147283,,
2022/11/15,127.6205027,212.8407947,,,,,,,28.6811741,,360.6664172,156.8691744,,228.2565096,126.4354462,,136.7075766,,,,110.7119895,,42.71585207,,152.8702761,,,142.8645338,,172.4510139,209.7341401,111.419444,,266.8839104,125.7731206,,18.0679335,,
2022/11/16,124.3310461,200.5045628,,,,,,,48.84008684,,361.3168063,190.2655831,,349.3036466,154.7132514,,75.95474384,,,,95.25049869,,54.00104261,,175.6867842,,,76.58816215,,108.8990365,130.1871481,116.9390554,,302.920767,225.847146,,18.74474578,,
2022/11/17,146.3715075,172.3387244,,,,,,,25.98139325,,133.6191407,142.3750037,,231.1805181,218.4179563,,99.8402598,,,,96.07103373,,70.21353349,,141.7585315,,,87.28819232,,172.9352892,207.8372546,111.4514655,,201.8428183,64.66097163,,18.65641256,,
2022/11/18,89.40232208,107.5046713,,,,,,,29.37057783,,149.5557808,141.2942078,,147.5259608,141.1056539,,203.7367426,,,,112.4539862,,24.88802584,,212.8253226,,,101.8178541,,227.5120262,269.9771497,81.44469807,,137.3754408,119.5447367,,20.18608311,,
2022/11/19,141.6243113,164.668237,,,,,,,36.75446223,,424.6251543,182.2727069,,193.4212783,186.4732111,,200.9174667,,,,140.516314,,82.68596287,,198.9741363,,,165.067074,,167.5833061,233.8837442,142.3308861,,256.0693052,131.2309875,,20.21002293,,
2022/11/20,147.3656351,164.0314961,,,,,,,42.4018676,,822.6248964,172.7482334,,260.5742082,178.4305431,,151.9581878,,,,121.389865,,102.7725468,,208.6979776,,,102.7786727,,196.4790468,187.9723957,168.4299189,,202.1357957,137.7694377,,20.06762177,,
2022/11/21,175.1352023,166.0330856,,,,,,,61.23757851,,367.8038659,193.6724354,,194.3845227,191.0027512,,296.9314551,,,,132.4040789,,100.2025018,,299.3603461,,,144.5254058,,329.5195077,455.6370959,161.5568518,,189.6580613,142.2832729,,20.33860301,,
2022/11/22,145.7079043,102.7352595,,,,,,,43.16941489,,665.5358716,157.5799217,,275.0173832,166.1810653,,208.9086739,,,,95.08796945,,109.0464427,,302.4344447,,,101.6381433,,162.9502453,226.6006725,172.3517268,,140.7736525,100.6386669,,19.89642864,,
